Objektnummer;Kulturdenkmaltyp;Kreis;Gemeinde;Adresse-Lage;Bezeichnung;Beschreibung;Begründung;Schutzumfang;FotoURL
14355;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Ballastbrücke 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 19, 20, 22, 23, 24";"Wohnhäuser Ballastbrücke 5-24";"Bebauung Ballastbrücke; 18.- Anfang 20. Jh.; weitgehend geschlossene Bebauung an der Ostseite auf 18. Jahrhundert zurückgehend, unregelmäßiger Wechsel von schlichten eingeschossigen Wohnhäusern in Traufstellung und ab Ende des 19. Jhs. errichteten mehrgeschossigen Mietwohnhäuser, teilweise in aufwändiger Gestaltung. Gebäude der Rönnekamp-Stifung (ehemals Seemannsheim) aus Bauflucht zurückgesetzt; der älteste Bau, Wohnhaus Nr. 24, von 1774 bildet den nördlichen Abschluss";"Geschichtlich, Künstlerisch, Städtebaulich, Wissenschaftlich";"Wohnhäuser (Ballastbrücke 5, 6, 7, 8, 9, 10, 12, 18, 19 (mit Einfriedung), 23, 24); Mietwohnungshäuser (Ballastbrücke 13, 14, 15, 17); ehem. Fischerhaus (Ballastbrücke 11); ehem. Kapitänshaus (Ballastbrücke 16); ehem. Rönnekamp-Stift (Ballastbrücke 20); Fabrikantenvilla (Ballastbrücke 22)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/14355.jpg"
48607;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Bismarckstraße 46, 48, 50, 52";"Wohn- und Geschäftshäuser Bismarckstraße 46-52";"Wohn- und Geschäftshäuser Bismarckstraße 46-52; 1906-10, Zimmermeister A. Andresen u.a.; geschlossene Gruppe von viergeschossigen Putzbauten, belebte Fassaden im Duktus des Jugend- und Reformstils";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshaus (Bismarckstraße 46), Wohn- und Geschäftshäuser (Bismarckstraße 48, 50, 52)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48607.jpg"
20190;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Bismarckstraße 66, 68, 70, 72, 74";"Reihenhauszeile Bismarckstraße 66-74";"Reihenhauszeile; 1912, Karl Bernt, 1951; Reihung zweigeschossiger Backsteinbauten im Heimatstil mit Schieferdeckung, Auflockerung und Betonung durch Eingangsloggien, Risalite und Giebel, die zwischen den Dreieckgiebeln";"Geschichtlich, Künstlerisch, Städtebaulich";"Reihenhäuser Bismarckstraße 66, 68, 70, 72, 74";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20190.jpg"
20191;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Bismarckstraße 69, 71, 73, 75";"Mietwohnungshäuser Bismarckstraße 69-75";"Mietshausreihe Bismarckstraße 69-75; 1914-16, Architekt Karl Bernt; geschlossene und abgeschlossene Reihe aus vier dreigeschossigen Wohnhäusern, stattliche Putzbauten mit sehr hohen Mansarddächern und Zwerchgiebeln, Fassaden im Duktus des Reformstils";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshäuser Bismarckstraße 69, 71, 73, 75";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20191.jpg"
20192;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Bismarckstraße 76, 78-80, 82, 84, 86, 88, 90";"Reihenhauszeile Bismarckstraße 76-90";"Reihenhauszeile Bismarckstraße 76-90; 1922-1938; traufständiger zweigeschossiger Backsteinblock mit Satteldach, Reihenhäuser belebt durch unregelmäßigen Achsenrhythmus, variierte Fenstergrößen, Eingänge und Erker";"Geschichtlich, Künstlerisch, Städtebaulich";"Reihenhäuser Bismarckstraße 76, 78-80, 82, 84, 86, 88, 90";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20192.jpg"
20193;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Bismarckstraße 77, 79, 81, 83, 85, 87";"Reihenhauszeile Bismarckstraße 77-87";"Reihenhauszeile; 1924-25, Architekten Planck u. Hain; traufständiger zweigeschossiger Backsteinblock mit Walmdach, zurückhaltende Heimatschutzformen, symmetrische Gliederung durch übergiebelte Mittel- und Seitenrisalite";"Geschichtlich, Künstlerisch, Städtebaulich";"Reihenhäuser Bismarckstraße 77, 79, 81, 83, 85, 87";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20193.jpg"
20194;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Bismarckstraße 96, 98, 100, 102";"Reihenhauszeile Bismarckstraße 96-102";"Reihenhauszeile Bismarckstraße 96-102; 1922-24, Architekten Franz Haar, Guido Widmann, Karl Bernt; zweigeschossiger Backsteinblock mit pfannengedeckten Sattel- und Walmdächern, Einzelfassaden belebt durch unregelmäßige Achsenanordnung, variierende Eingangs-, Erker- und Giebelformen sowie Fenstergrößen";"Geschichtlich, Künstlerisch, Städtebaulich";"Reihenhäuser Bismarckstraße 96, 98, 100, 102";""
20188;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Bismarckstraße 54-54a, 56, 58, 60, 62, 64, Heinrich-Hertz-Straße 2, Jürgensgaarder Straße 37";"Mietwohnungshäuser Bismarckstraße 54-64 u.a.";"Mietwohnungshäuser Bismarckstraße 54-64 u.a.; 1913-14, Architekt Karl Bernt, 1925-27, Baugeschäft Jürgensen und Tiedje; geschlossene Reihe aus dreigeschossigen Putzbauten mit Mansarddächern in zurückhaltenden Formen des Reformstils, rhythmisiert durch Frontgiebel, Fenstererker und Loggienachsen, jüngere Eckgebäude baulich angepasst, mit Feldsteinsockeln und Gurtgesimsen einfacher gegliedert";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshäuser (Bismarckstraße 54-54a, Jürgensgaarder Straße 37), Mietwohnungshäuser (Bismarckstraße 56, 58, 60, 62, 64, Heinrich-Hertz-Straße 2)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20188.jpg"
36768;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Bismarckstraße 55, 57, 59, 61, 63, 65, 67, Jürgensgaarder Straße 25, 27, 29, 31, 33, 35";"Mietshausbebauung Bismarckstraße 55-67/Jürgensgaarder Straße 25-35";"Mietshausbebauung Bismarckstraße 55-67/ Jürgensgaarder Straße 25-35; 1910-12, Architekt Karl Bernt, Joh. H. Thiesen; von Norden die Kreuzung Bismarckstraße-Jürgensgaarder Straße beschreibende geschlossene spitzwinklig verlaufende Reihe aus 13 dreigeschossigen Putzbauten mit pfannengedeckten Mansarddächern und großer gestalterischer Ähnlichkeit, die symmetrischen Straßenfassaden zumeist mit mächtigen Frontgiebeln, Fenstererkern und Loggienachsen, Bismarckstraße 55 u. 67 als mächtige Eckgebäude mit Eckeingängen hervorgehoben";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshäuser (Bismarckstraße 55, Jürgensgaarder Straße 29), Mietwohnhäuser (Bismarckstraße 57, 59, 61, 63, 65, 67; Jürgensgaarder Straße 25, 27, 31, 33, 35)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/36768.jpg"
48635;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Bremerplatz 2, 3, Brixstraße 29";"Wohn- und Geschäftshäuser Bremerplatz 2-3/Brixstraße 29";"Mietshausbebauung Bremerplatz 2-3, Brixstraße 29; 1908-10, Architekt. Karl Bernt; geschlossene Baureihe aus drei- und viergeschossigen Putzbauten, zurückhaltende Gliederung durch Erker, Balkone und Zwerchhäuser";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshaus (Bremerplatz 2), Wohn- und Geschäftshäuser (Bremerplatz 3, Brixstraße 29)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48635.jpg"
48643;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Brixstraße 13, 15, 17";"Wohn- und Geschäftshäuser Brixstraße 13-17";"Mietshausgruppe Brixstraße 13-17; 1905-07, Maurermeister Christian Hummel und P. Petersen; Ensemble von drei dreigeschossigen Putzbauten in zeittypischer historisierender Gestaltung mit Putzgliederungen und Erkern";"Geschichtlich, Städtebaulich";"Wohn- und Geschäftshäuser Brixstraße 13, 15, 17";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48643.jpg"
36727;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Brixstraße 19, 21, 23, 25, 27";"Mietshausbebauung Brixstraße 19-27";"Mietshausbebauung Brixstraße 19-27; 1907-12, Architekt Karl Bernt; geschlossene Reihe von dreigeschossigen Putzbauten in zeittypischer Gestaltung im Duktus des Reformstils";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshaus (Brixstraße 19), Mietwohnungshäuser (Brixstraße 21, 23, 25, 27)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/36727.jpg"
48647;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Brixstraße 30, 32, 34, 36, 38";"Baugruppe Brixstraße 30-38";"Baugruppe Brixstraße 30-38; 1904-10, H. G. Rohweder u. Chr. Fürstenberg, Hans Strozda, P. Petersen und H. W. Boysen; Reihe aus fünf Putzbauten in weithgehend geschlossener Bebauung, im Zentrum freistehend die ehem. Zoar-Kapelle der Baptisten von 1905, heute Wohnhaus, nach Norden und Süden je zwei etwa zeitgleich entstandene Mietwohnungshäuser mit repräsentativer Fassadengestaltung in Jugendstilformen, mittige Kastenerker unter geschweiften Zwerchgiebeln und Stuckfelder";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshäuser (Brixstraße 30, 32, 36, 38), ehem. Zoar-Kapelle der Baptisten (Brixstraße 34)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48647.jpg"
48639;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Brixstraße 22, 24, Ulmenstraße 16";"Mietshausgruppe Brixstraße 22-24/Ulmenstraße 14-16";"Mietshausgruppe Brixstraße 22-24/ Ulmenstraße 14-16; 1899-1912, G. F. Daldorf; Gruppe von drei dreigeschossigen Mietshäusern in geschlossener und halboffener Bebauung, in dominierender Lage das Eckgebäude Brixstraße 24/Ulmenstraße 14 in historisierender Gestaltung von G.F. Dalldorf 1906 erbaut, im Norden der geschlämmte Backsteinbau Brixstraße 22 1899, urspr. als Eckgebäude einer nicht realisierten Stichstraße errichtet, nach Westen Ulmenstr. 16 als Abschluss der Gruppe und erneut durch Dalldorf 1911/12 als Backsteinbau im Duktus des Heimatschutzstils errichtet";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshäuser (Brixstraße 22, Ulmenstraße 16), Wohn- und Geschäftshaus (Brixstraße 24, Ulmenstraße 14)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48639.jpg"
48636;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Buchenstraße 5, 7, Brixstraße 5";"Wohn- und Geschäftshäuser Brixstraße 5/Buchenstraße 5-7";"Mietshausgruppe Brixstraße 5, Buchenstraße 5-7; 1905-07Bautechniker Chr. Arpe, Architekt Karl Bernt; geschlossene repräsentative Baugruppe aus dreigeschossigen Putzbauten mit backsteinsichtigen Erdgeschossen";"Geschichtlich, Städtebaulich";"Wohn- und Geschäftshaus (Brixstraße 5), Mietwohnungshäuser (Buchenstraße 5, 7)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48636.jpg"
49498;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Burgplatz 1, 2, Burgstraße 3";"Wohn- und Geschäftshäuser Burgplatz/Burgstraße";"Wohn- und Geschäftshäuser Burgplatz/Burgstraße; 1895-98, Maurermeister Ohlsen u. Jensen; repräsentative Eckbebauung am Burgplatz zwischen Burgstraße und Bergstraße, drei drei- bis viergeschossigen Putzbauten in spätklassizistischen und Neurenaissance-Formen";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshäuser Burgplatz 1, 2, Burgstraße 3";""
49532;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Burgstraße 25, Ritterstraße 15";"Mietwohnungshäuser Burgstraße 25/Ritterstraße 15";"Mietwohnungshäuser Burgstraße 25/Ritterstraße 15; 1904, Maurermeister Carl Schulz; Bebauung Ecke Ritterstraße/Burgstraße, zwei viergeschossige Wohnhäuser mit Pultdach, Putzfassaden, historistischer Dekor";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshäuser Burgstraße 25, Ritterstraße 15";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/49532.jpg"
48675;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Christinenstraße 6, 8, 10, 12, 14, 16, 18";"Mietwohnungshäuser Christinenstraße 6-18";"Mietshausgruppe Christinenstraße 6-18; 1909-12, Baugeschäfte Voigt u. Fries / E. Rehm u. H. Niemand; geschlossene Reihe aus sieben drei- bis viergeschossigen Wohnhäusern, Nr. 6-16 homogen gestaltete Putzbauten im Reformstil, Nr. 18 backsteinsichtig, repräsentative Fassadengestaltung von Heinrich Cedernberg";"Geschichtlich, Städtebaulich";"Mietwohnungshäuser 6, 8, 10, 12, 14, 16, 18";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48675.jpg"
20227;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Clädenstraße 3, 4, 5, 6, 7, 8, 9, 10, Mommsenstraße 2";"Mietwohnungshäuser Clädenstraße 3-10";"Mietwohnungshäuser Clädenstraße 3-10; 1908-13, Architekt Karl Bernt u.a.; geschlossene Reihe aus acht viergeschossigen Putzbauten, hohe Sockelgeschossen mit ausgebaute Dachzonen, homogene plastische Fassadengestaltung mit flachrunden Erkern, Frontgiebeln, Loggienachsen und barockisierenden Details, mittig zwischen Nr. 6 und Nr. 7 repräsentativ überbaute dreibogige Tordurchfahrt zur Beselerstraße";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshäuser (Clädenstraße 3, 4, 5, 6, 7, 8, 9,10, Mommsenstraße 2)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20227.jpg"
49395;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Dorotheenstraße 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, Gertrudenstraße 20";"Mietwohnungshäuser östliche Dorotheenstraße";"Mietshausgruppe östliche Dorotheenstraße; E. 19. Jh.; beidseitige Bebauung des östlichen Abschnitts der Dorotheenstraße, 15 zumeist dreigeschossige Putzbauten mit schlichter spätklassizistischer Fassadengestaltung in geschlossener und halboffener Bauweise";"Geschichtlich, Städtebaulich";"Mietwohnungshäuser (Dorotheenstraße 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, Gertrudenstraße 20), Wohn- und Geschäftshäuser (Dorotheenstraße 7, 20)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/49395.jpg"
49790;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Duburger Straße 47, 49, Ritterstraße 4";"Mietwohnungshäuser Duburger Straße 47-49/Ritterstraße 4";"Mietwohnungshäuser Duburger Straße47-49 / Ritterstraße 4; Ende 19. Jh., Gebr. Ohlsen, Zimmermeister L. Hentschel; einseitige Bebauung der Ecke Duburger Straße/Ritterstraße, drei- und viergeschossige Wohn- und Geschäftshäuser mit Satteldächern und Berliner Dach, Putzbauten in Formen des Spätklassizismus";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshäuser Duburger Straße 47, 49, Mietwohnungshaus Ritterstraße 4 (mit hist. Treppenhaus)";""
49570;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Duburger Straße 74, 76, 78, 80, 82-84";"Mietwohnungshäuser Duburger Straße 74-84";"Mietwohnungshäuser Duburger Straße 74-84; 1893-94, P. G. Münster, M. Pöhler; drei- und viergeschossige Bauten mit Berliner Dächern und Pultdächern, verputzten und steinsichtigen Fassaden, historisierender Dekor";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshäuser Duburger Straße 74, 76, 78, 80, Duburger Straße 82-84 mit Vorgarten und Einfriedung";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/49570.jpg"
35623;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Duburger Straße 17, 18, 19, 20, 21, 22, 23, 25, Junkerhohlweg 2, 4, 6";"Mietwohnungshäuser Duburger Straße 17-25/Junkerhohlweg 2- 6";"Mietwohnungshäuser Duburger Straße 17-25 u. Junkerhohlweg 2- 6; Ende 19./Anfang 20. Jh., Maurermeister Wilhelm Nielsen, Baumeister Johann Rose, Maurermeister Chr. Fürstenberg u.a.; beidseitige Bebauung Duburger Straße und einseitige Bebauung Einmündung Junkerhohlweg, viergeschossige Mietwohnhäuser mit Pult- und Satteldächern sowie Berliner Dächern, Putz- und Ziegelbauten in Formen des Spätklassizismus sowie des Heimatschutz- und Reformstils. Hervorzuheben Mietwohnungshaus Duburger Straße Nr. 17 mit historischen Treppenhäusern";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohnhaus Duburger Straße 18, Mietwohnungshäuser Duburger Straße 17, 19 (mit hist. Treppenhaus), 20, 21, 22, 23, 25, Junkerhohlweg 2, 4, 6";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35623.jpg"
49579;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Flurstraße 2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, Marienhölzungsweg 34, 36, 38, Waldstraße 23, 25";"Mietwohnungshäuser Flurstraße";"Mietshausbebauung Flurstraße; A. 20. Jh., Architekt Karl Bernt, Maurermeister Jensen u.a.; beidseitige geschlossene Bebauung der Flurstraße mit Ausläufern in die Waldstraße und den Marienhölzungsweg, viergeschossige Putzbauten mit abwechslungsreicher Fassadengestaltung in Formen des Jugend- und Reformstils";"Geschichtlich, Städtebaulich";"Mietwohnungshäuser (Flurstraße 2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28; Marienhölzungsweg 34, 36, 38; Waldstraße 23, 25); Wohn- und Geschäftshaus (Flurstraße 19)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/49579.jpg"
35624;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Friedrichshöh 17, 18, 19, Friedrichstal 52, 57";"Villen Friedrichshöh / Friedrichstal";"Villen Friedrichshöh /Friedrichstal; 1913-14, Architekt Anton Meyer; Gruppe aus eingeschossigen Backsteinvillen in offener, repräsentativer Hanglage, zeittypische Gestaltung in Formen des Heimatschutzstils; straßenseitige Natursteinmauern";"Geschichtlich, Künstlerisch, Städtebaulich";"Villen (Friedrichshöh 17 (mit Einfriedung),18, 19 (mit Einfriedung), Friedrichstal 57), Einfamilienhaus (Friedrichstal 52)";""
35384;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Friesische Straße 15, 17, 19";"Mietwohnungshäuser Friesische Straße 15, 17, 19";"Mietwohnungshäuser; 1937, Guido Widmann; drei typengleiche, dreigeschossige Wohnhäuser mit Satteldächern und Putzfassaden, mit roten Vormauersteinen verblendete Sockel, flache dreieckig vortretende Treppenhauserker, Stegrustika gerahmte Eingänge";"Geschichtlich, Städtebaulich";"Mietwohnungshäuser Friesische Straße 15, 17, 19";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35384.jpg"
48712;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Friesische Straße 27, 27a, 29, 31, 33, Am Pferdewasser 4";"Wohn- und Geschäftshäuser Friesische Straße 27-33/Am Pferdewasser 4";"Wohn- und Geschäftshäuser Friesische Straße 27-33/Am Pferdewasser 4; 2. H. 19./Anfang 20. Jahrhundert; Urheber u. a. Maurermeister Heinrich Davids, Baugeschäft Schwark u. Körner, zwei- bis viergeschossige Mietwohnhäuser sowie Wohn- und Geschäftshäuser, Putzbauten, teils mit Blendmauerwerk, überwiegend reicher Dekor in Formen des Spätklassizismus, Neubarock, Reform- und Jugendstils";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshäuser Am Pferdewasser 2, Friesische Straße 27, 27a, 29, 31, Wohnhaus Friesische Straße 33, Mietwohnungshaus Am Pferdewasser 4";""
48817;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Friesische Straße 65, 67, 69, 71, 73, 75, 77, 79, 81, 83-85, 87, 89, 91, 93, 95, Katharinenstraße 1";"Wohn- und Geschäftshäuser Friesische Straße 65-95/Katharinenstraße 1";"Wohn- und Geschäftshausgruppe Friesische Straße Nr. 65-95; E. 19. Jh.; Baugruppe aus 15 drei- bis viergeschossigen traufständigen Putzbauten in geschlossener und halboffener Bebauung, südseitige Bebauung der Friesischen Straße mit weitgehend einheitlicher, spätklassizistischer Fassadengestaltung, Eckgebäude mit zwei Schaufassaden";"Geschichtlich, Städtebaulich";"Mietwohnungshäuser (Friesische Straße 65, 81, 83-85, 87, 89, 91, 93, 95), Wohn- und Geschäftshäuser (Friesische Straße 67, 69, 71, 73, 75, 77, 79, Katharinenstraße 1)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48817.jpg"
48698;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Friesische Straße 68, 70, 72, 76, 78, 80, 82, 84, 86, Christinenstraße 3, Mathildenstraße 2, 3";"Wohn- und Geschäftshäuser Friesische Straße 68-86";"Wohn- und Geschäftshäuser Friesische Straße 68-86; Ende 19./Anfang 20. Jh., A. Willandsen, A. Bögh, P. Petersen, C. Sander, A. Kruse u. a.; drei- und viergeschossige Bauten, überwiegend mit Berliner Dächern und Putzfassaden, teils mit Verblendmauerwerk, teils reiches historisierendes Dekor";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshäuser Friesische Straße 68, 70, 72, 76, 84, Mathildenstraße 2, 3 (mit Vorgarten), Mietwohnungshäuser Christinenstraße 3, Friesische Straße 78, 80, 82, 86";""
48700;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Friesische Straße 90-92, 94, 96, 98, 100";"Wohn- und Geschäftshäuser Friesische Straße 90-100";"Wohn- und Geschäftshausgruppe Friesische Straße 90-100; A. 20. Jh. Maurermeister Hans Lucassen, M. Voigt; geschlossene Reihe aus fünf zumeist viergeschossigen Mietshäusern mit reicher historistischer und Jugendstil-Gestaltung, repräsentative Eckgebäude zu den Stichstraßen, Fassadengliederung durch kontrastierenden Wechsel von Backstein- und Putzflächen sowie plastische Gliederungselemente und reiche Stuckierung";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshaus (Friesische Straße 90-92), Mietwohnungshäuser (Friesische Straße 94, 96, 98, 100)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48700.jpg"
48702;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Friesische Straße 102, 104";"Mietwohnungshäuser Friesische Straße 102-104";"Mietwohnungshäuser Friesische Straße 102-104; 1911, Maurermeister Hans Lucassen; nördliche Bebauung der westlichen Friesischen Straße jenseits der Carolinenstraße, zwei viergeschossige Putzbauten mit Satteldächern im Reformstil mit historisierendem Dekor";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshäuser Friesische Straße 102, 104";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48702.jpg"
14658;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Friesische Straße 103, 105, 107, 109";"Mietwohnungshäuser Friesische Straße 103-109";"Mietwohnungshäuser Friesische Straße 103-109; 1901-02, Bauunternehmen Bruhn und Lucassen; geschlossene Bebauung südliche Friesische Straße, vier viergeschossige Wohnhäuser mit Pultdächern, Putzfassaden, historisierendes Dekor";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshäuser Friesische Straße 103, 105, 107, 109";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/14658.jpg"
48709;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Friesische Straße 115, 117";"Mietwohnungshäuser Friesische Straße 115-117";"Mietwohnungshäuser Friesische Straße 115-117; 1913, Bauunternehmer Jens Vogt; südliche Bebauung der westlichen Friesischen Straße, zwei viergeschossige Wohnhäuser mit Berliner Dächern, Putzbauten in Formen des Reformstils";"Geschichtlich, Künstlerisch, Städtebaulich";"Mietwohnungshäuser Friesische Straße 115-117";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48709.jpg"
48713;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Friesische Straße 28, 30, 32, 34, Friedrichstraße 1, 3";"Mietwohnungshäuser Friesische Straße 28-34/Friedrichstraße 1-3";"Mietwohnungshäuser Friesische Straße 28-34/Friedrichstraße 1-3; Ende 19. Jh., C. Schulz, C. Henningsen, A. Fabian u. a.; nördliche geschlossene und halboffene Straßenbebauung, sechs dreigeschossige Gebäude, überwiegend Satteldächer, Putzbauten, teils reicher spätklassizistischer Dekor";"Geschichtlich, Städtebaulich";"Mietwohnungshäuser Friesische Straße 28, 30, 32, 34, Friedrichstraße 1, 3";""
53179;"Mehrheit von baulichen Anlagen";"Stadt Flensburg";"Flensburg, Stadt";"Fruerlunder Straße 72, 74, 76, 78, Mürwiker Straße 122";"Wohnbebauung Fruerlunder Straße 72-78/Mürwiker Straße 122";"Wohnbebauung Fruerlunder Straße 72-78; 1904-1910, Maurermeister Hans Sörensen sen., Bauunternehmer P. Clausen, Gustav Wahl; Reihe von freistehenden, überwiegend zweigeschossigen Mietwohnungshäuser, traufständige Putzbauten mit historistischer Backstein- oder Putzgliederung, Nr. 72 und 74 mit erhöhten Seitenrisaliten, Nr. 78 im Reformstil";"Geschichtlich, Städtebaulich";"Wohnhäuser Fruerlunder Straße 72, 74, 76, 78, Mietwohnungshaus Mürwiker Straße 122";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/53179.jpg"
